iin	V(iin)	V(vout)	I(Iin)	I(Iout)	I(Vout)
4.455550000000016e-05	2.164146e+00	5.000000e+00	4.455550e-05	-9.215718e-19	-9.215718e-19
4.465540000000016e-05	2.161463e+00	5.000000e+00	4.465540e-05	2.710505e-20	2.710505e-20
4.475530000000016e-05	2.158782e+00	5.000000e+00	4.475530e-05	-2.710505e-20	-2.710505e-20
4.485520000000017e-05	2.156104e+00	5.000000e+00	4.485520e-05	1.355253e-19	1.355253e-19
4.495510000000017e-05	2.153427e+00	5.000000e+00	4.495510e-05	4.786240e-19	4.786240e-19
4.505500000000017e-05	2.150753e+00	5.000000e+00	4.505500e-05	-2.888587e-19	-2.888587e-19
4.515490000000017e-05	2.148081e+00	5.000000e+00	4.515490e-05	-5.327743e-19	-5.327743e-19
4.525480000000018e-05	2.145411e+00	5.000000e+00	4.525480e-05	-5.963112e-19	-5.963112e-19
4.535470000000018e-05	2.142743e+00	5.000000e+00	4.535470e-05	-7.589415e-19	-7.589415e-19
4.545460000000018e-05	2.140078e+00	5.000000e+00	4.545460e-05	3.523657e-19	3.523657e-19
4.555450000000018e-05	2.137414e+00	5.000000e+00	4.555450e-05	5.149960e-19	5.149960e-19
4.565440000000018e-05	2.134753e+00	5.000000e+00	4.565440e-05	5.963112e-19	5.963112e-19
4.575430000000019e-05	2.132094e+00	5.000000e+00	4.575430e-05	-1.165517e-18	-1.165517e-18
4.585420000000019e-05	2.129437e+00	5.000000e+00	4.585420e-05	-7.860466e-19	-7.860466e-19
4.595410000000019e-05	2.126782e+00	5.000000e+00	4.595410e-05	-9.087926e-20	-9.087926e-20
4.605400000000019e-05	2.124130e+00	5.000000e+00	4.605400e-05	-1.084202e-19	-1.084202e-19
4.615390000000020e-05	2.121479e+00	5.000000e+00	4.615390e-05	-1.165517e-18	-1.165517e-18
4.625380000000020e-05	2.118831e+00	5.000000e+00	4.625380e-05	-5.149960e-19	-5.149960e-19
4.635370000000020e-05	2.116184e+00	5.000000e+00	4.635370e-05	1.355253e-18	1.355253e-18
4.645360000000020e-05	2.113540e+00	5.000000e+00	4.645360e-05	1.463673e-18	1.463673e-18
4.655350000000020e-05	2.110898e+00	5.000000e+00	4.655350e-05	-8.847268e-19	-8.847268e-19
4.665340000000021e-05	2.108258e+00	5.000000e+00	4.665340e-05	6.397923e-20	6.397923e-20
4.675330000000021e-05	2.105620e+00	5.000000e+00	4.675330e-05	-5.421011e-20	-5.421011e-20
4.685320000000021e-05	2.102984e+00	5.000000e+00	4.685320e-05	5.692061e-19	5.692061e-19
4.695310000000021e-05	2.100350e+00	5.000000e+00	4.695310e-05	-1.273938e-18	-1.273938e-18
4.705300000000022e-05	2.097718e+00	5.000000e+00	4.705300e-05	1.419348e-18	1.419348e-18
4.715290000000022e-05	2.095088e+00	5.000000e+00	4.715290e-05	-4.336809e-19	-4.336809e-19
4.725280000000022e-05	2.092460e+00	5.000000e+00	4.725280e-05	1.291100e-18	1.291100e-18
4.735270000000022e-05	2.089835e+00	5.000000e+00	4.735270e-05	-1.273938e-18	-1.273938e-18
4.745260000000022e-05	2.087211e+00	5.000000e+00	4.745260e-05	2.168404e-19	2.168404e-19
4.755250000000023e-05	2.084589e+00	5.000000e+00	4.755250e-05	-2.881263e-19	-2.881263e-19
