iin	V(iin)	I(Iin)	I(Iout)	I(Vdd)	I(Vout)
1.068940000000001e-05	3.311861e+00	1.068940e-05	1.128496e-05	-2.197436e-05	1.128496e-05
1.078930000000001e-05	3.307015e+00	1.078930e-05	1.138897e-05	-2.217827e-05	1.138897e-05
1.088920000000001e-05	3.302189e+00	1.088920e-05	1.149296e-05	-2.238216e-05	1.149296e-05
1.098910000000001e-05	3.297384e+00	1.098910e-05	1.159694e-05	-2.258604e-05	1.159694e-05
1.108900000000001e-05	3.292597e+00	1.108900e-05	1.170090e-05	-2.278990e-05	1.170090e-05
1.118890000000001e-05	3.287831e+00	1.118890e-05	1.180485e-05	-2.299375e-05	1.180485e-05
1.128880000000001e-05	3.283083e+00	1.128880e-05	1.190879e-05	-2.319759e-05	1.190879e-05
1.138870000000001e-05	3.278354e+00	1.138870e-05	1.201272e-05	-2.340142e-05	1.201272e-05
1.148860000000001e-05	3.273644e+00	1.148860e-05	1.211663e-05	-2.360523e-05	1.211663e-05
1.158850000000001e-05	3.268952e+00	1.158850e-05	1.222053e-05	-2.380903e-05	1.222053e-05
1.168840000000001e-05	3.264279e+00	1.168840e-05	1.232441e-05	-2.401281e-05	1.232441e-05
1.178830000000001e-05	3.259623e+00	1.178830e-05	1.242829e-05	-2.421659e-05	1.242829e-05
1.188820000000001e-05	3.254985e+00	1.188820e-05	1.253215e-05	-2.442035e-05	1.253215e-05
1.198810000000001e-05	3.250364e+00	1.198810e-05	1.263599e-05	-2.462409e-05	1.263599e-05
1.208800000000001e-05	3.245761e+00	1.208800e-05	1.273983e-05	-2.482783e-05	1.273983e-05
1.218790000000001e-05	3.241174e+00	1.218790e-05	1.284365e-05	-2.503155e-05	1.284365e-05
1.228780000000001e-05	3.236605e+00	1.228780e-05	1.294746e-05	-2.523526e-05	1.294746e-05
1.238770000000002e-05	3.232052e+00	1.238770e-05	1.305126e-05	-2.543896e-05	1.305126e-05
1.248760000000002e-05	3.227515e+00	1.248760e-05	1.315504e-05	-2.564264e-05	1.315504e-05
1.258750000000002e-05	3.222994e+00	1.258750e-05	1.325881e-05	-2.584632e-05	1.325881e-05
1.268740000000002e-05	3.218489e+00	1.268740e-05	1.336257e-05	-2.604997e-05	1.336257e-05
1.278730000000002e-05	3.214000e+00	1.278730e-05	1.346632e-05	-2.625362e-05	1.346632e-05
1.288720000000002e-05	3.209527e+00	1.288720e-05	1.357006e-05	-2.645726e-05	1.357006e-05
1.298710000000002e-05	3.205069e+00	1.298710e-05	1.367378e-05	-2.666088e-05	1.367378e-05
1.308700000000002e-05	3.200626e+00	1.308700e-05	1.377750e-05	-2.686449e-05	1.377750e-05
1.318690000000002e-05	3.196198e+00	1.318690e-05	1.388119e-05	-2.706810e-05	1.388119e-05
1.328680000000002e-05	3.191785e+00	1.328680e-05	1.398488e-05	-2.727168e-05	1.398488e-05
1.338670000000002e-05	3.187387e+00	1.338670e-05	1.408856e-05	-2.747526e-05	1.408856e-05
1.348660000000002e-05	3.183003e+00	1.348660e-05	1.419222e-05	-2.767883e-05	1.419222e-05
1.358650000000002e-05	3.178634e+00	1.358650e-05	1.429588e-05	-2.788238e-05	1.429588e-05
1.368640000000002e-05	3.174278e+00	1.368640e-05	1.439952e-05	-2.808592e-05	1.439952e-05
1.378630000000002e-05	3.169937e+00	1.378630e-05	1.450315e-05	-2.828945e-05	1.450315e-05
1.388620000000002e-05	3.165610e+00	1.388620e-05	1.460677e-05	-2.849297e-05	1.460677e-05
1.398610000000002e-05	3.161296e+00	1.398610e-05	1.471038e-05	-2.869648e-05	1.471038e-05
1.408600000000002e-05	3.156996e+00	1.408600e-05	1.481397e-05	-2.889997e-05	1.481397e-05
1.418590000000002e-05	3.152709e+00	1.418590e-05	1.491756e-05	-2.910346e-05	1.491756e-05
1.428580000000003e-05	3.148435e+00	1.428580e-05	1.502113e-05	-2.930693e-05	1.502113e-05
1.438570000000003e-05	3.144175e+00	1.438570e-05	1.512469e-05	-2.951039e-05	1.512469e-05
1.448560000000003e-05	3.139927e+00	1.448560e-05	1.522824e-05	-2.971384e-05	1.522824e-05
1.458550000000003e-05	3.135693e+00	1.458550e-05	1.533179e-05	-2.991728e-05	1.533179e-05
1.468540000000003e-05	3.131471e+00	1.468540e-05	1.543531e-05	-3.012071e-05	1.543531e-05
