vdm,trash,v1,i1
0.03434343434343434,-1.1000000000000001e-09,5.0,2.1300000000000001e-07
0.03838383838383838,-8e-10,5.0,2.1700000000000002e-07
0.04242424242424242,-1.2e-09,5.0,2.26e-07
0.04646464646464646,-1.4000000000000001e-09,5.0,2.2900000000000003e-07
0.0505050505050505,-1e-09,5.0,2.3600000000000002e-07
0.05454545454545451,-1e-09,5.0,2.39e-07
0.058585858585858575,-1.1000000000000001e-09,5.0,2.4700000000000003e-07
0.06262626262626264,-7.000000000000001e-10,5.0,2.5000000000000004e-07
0.06666666666666665,-6e-10,5.0,2.56e-07
0.07070707070707072,-1.2e-09,5.0,2.5700000000000004e-07
0.07474747474747473,-3e-10,5.0,2.63e-07
0.0787878787878788,-9e-10,5.0,2.62e-07
0.0828282828282828,-5e-10,5.0,2.61e-07
0.08686868686868687,-1.1000000000000001e-09,5.0,2.7e-07
0.09090909090909088,-9e-10,5.0,2.77e-07
0.09494949494949495,-7.000000000000001e-10,5.0,2.7600000000000004e-07
0.09898989898989896,-6e-10,5.0,2.77e-07
0.10303030303030303,-1.2e-09,5.0,2.77e-07
0.10707070707070704,-1e-09,5.0,2.8100000000000004e-07
0.1111111111111111,-1.2e-09,5.0,2.84e-07
0.11515151515151512,-1.2e-09,5.0,2.84e-07
0.11919191919191918,-1.3e-09,5.0,2.85e-07
0.1232323232323232,-1e-09,5.0,2.79e-07
0.12727272727272726,-1.2e-09,5.0,2.89e-07
0.13131313131313133,-8e-10,5.0,2.84e-07
0.13535353535353534,-1.1000000000000001e-09,5.0,2.9000000000000003e-07
0.1393939393939394,-1.6e-09,5.0,2.89e-07
0.14343434343434341,-1e-09,5.0,2.87e-07
0.14747474747474748,-1e-09,5.0,2.89e-07
0.1515151515151515,-8e-10,5.0,2.85e-07
0.15555555555555556,-6e-10,5.0,2.9000000000000003e-07
0.15959595959595957,-1.1000000000000001e-09,5.0,2.9500000000000003e-07
0.16363636363636364,-1e-09,5.0,2.94e-07
0.16767676767676765,-8e-10,5.0,2.9300000000000004e-07
0.1717171717171717,-5e-10,5.0,2.92e-07
0.17575757575757572,-9e-10,5.0,2.9500000000000003e-07
0.1797979797979798,-8e-10,5.0,2.91e-07
0.1838383838383838,-1e-09,5.0,2.92e-07
0.18787878787878787,-1e-09,5.0,2.98e-07
0.19191919191919193,-9e-10,5.0,2.9500000000000003e-07
0.19595959595959594,-1.2e-09,5.0,2.9500000000000003e-07
0.2,-9e-10,5.0,2.96e-07
