vdm	Ix(M1:DRAIN)	Ix(M2:SOURCE)
-1.363999999999982e-01	-7.863676e-13	-1.510126e-12
-1.359999999999982e-01	-7.865801e-13	-1.509943e-12
-1.355999999999982e-01	-7.867946e-13	-1.509758e-12
-1.351999999999982e-01	-7.870112e-13	-1.509571e-12
-1.347999999999981e-01	-7.872299e-13	-1.509382e-12
-1.343999999999981e-01	-7.874507e-13	-1.509192e-12
-1.339999999999981e-01	-7.876736e-13	-1.509000e-12
-1.335999999999981e-01	-7.878987e-13	-1.508805e-12
-1.331999999999981e-01	-7.881259e-13	-1.508609e-12
-1.327999999999981e-01	-7.883553e-13	-1.508411e-12
-1.323999999999981e-01	-7.885869e-13	-1.508212e-12
-1.319999999999981e-01	-7.888208e-13	-1.508010e-12
-1.315999999999981e-01	-7.890569e-13	-1.507806e-12
-1.311999999999980e-01	-7.892952e-13	-1.507601e-12
-1.307999999999980e-01	-7.895358e-13	-1.507394e-12
-1.303999999999980e-01	-7.897788e-13	-1.507184e-12
-1.299999999999980e-01	-7.900241e-13	-1.506973e-12
-1.295999999999980e-01	-7.902717e-13	-1.506759e-12
-1.291999999999980e-01	-7.905217e-13	-1.506543e-12
-1.287999999999980e-01	-7.907741e-13	-1.506326e-12
-1.283999999999980e-01	-7.910290e-13	-1.506106e-12
-1.279999999999979e-01	-7.912863e-13	-1.505885e-12
-1.275999999999979e-01	-7.915460e-13	-1.505661e-12
-1.271999999999979e-01	-7.918082e-13	-1.505434e-12
-1.267999999999979e-01	-7.920730e-13	-1.505207e-12
-1.263999999999979e-01	-7.923403e-13	-1.504976e-12
-1.259999999999979e-01	-7.926101e-13	-1.504743e-12
-1.255999999999979e-01	-7.928825e-13	-1.504509e-12
-1.251999999999979e-01	-7.931575e-13	-1.504272e-12
-1.247999999999979e-01	-7.934352e-13	-1.504032e-12
-1.243999999999979e-01	-7.937155e-13	-1.503791e-12
-1.239999999999979e-01	-7.939985e-13	-1.503547e-12
-1.235999999999979e-01	-7.942842e-13	-1.503301e-12
-1.231999999999979e-01	-7.945727e-13	-1.503052e-12
-1.227999999999979e-01	-7.948639e-13	-1.502802e-12
-1.223999999999979e-01	-7.951579e-13	-1.502548e-12
-1.219999999999979e-01	-7.954546e-13	-1.502293e-12
-1.215999999999979e-01	-7.957543e-13	-1.502034e-12
-1.211999999999979e-01	-7.960567e-13	-1.501774e-12
-1.207999999999979e-01	-7.963621e-13	-1.501511e-12
-1.203999999999979e-01	-7.966704e-13	-1.501245e-12
-1.199999999999979e-01	-7.969816e-13	-1.500977e-12
-1.195999999999979e-01	-7.972958e-13	-1.500707e-12
-1.191999999999979e-01	-7.976130e-13	-1.500434e-12
-1.187999999999979e-01	-7.979332e-13	-1.500158e-12
-1.183999999999979e-01	-7.982564e-13	-1.499880e-12
-1.179999999999979e-01	-7.985827e-13	-1.499599e-12
-1.175999999999979e-01	-7.989121e-13	-1.499315e-12
-1.171999999999979e-01	-7.992447e-13	-1.499029e-12
-1.167999999999979e-01	-7.995804e-13	-1.498740e-12
-1.163999999999979e-01	-7.999193e-13	-1.498448e-12
-1.159999999999979e-01	-8.002614e-13	-1.498153e-12
-1.155999999999979e-01	-8.006068e-13	-1.497856e-12
-1.151999999999979e-01	-8.009554e-13	-1.497556e-12
-1.147999999999979e-01	-8.013073e-13	-1.497253e-12
-1.143999999999979e-01	-8.016626e-13	-1.496947e-12
-1.139999999999979e-01	-8.020213e-13	-1.496639e-12
-1.135999999999979e-01	-8.023833e-13	-1.496327e-12
-1.131999999999979e-01	-8.027488e-13	-1.496013e-12
-1.127999999999979e-01	-8.031177e-13	-1.495695e-12
-1.123999999999979e-01	-8.034901e-13	-1.495375e-12
-1.119999999999979e-01	-8.038660e-13	-1.495052e-12
-1.115999999999980e-01	-8.042455e-13	-1.494725e-12
-1.111999999999980e-01	-8.046285e-13	-1.494396e-12
-1.107999999999980e-01	-8.050152e-13	-1.494063e-12
-1.103999999999980e-01	-8.054054e-13	-1.493728e-12
-1.099999999999980e-01	-8.057994e-13	-1.493389e-12
-1.095999999999980e-01	-8.061971e-13	-1.493047e-12
-1.091999999999980e-01	-8.065985e-13	-1.492702e-12
-1.087999999999980e-01	-8.070038e-13	-1.492353e-12
-1.083999999999980e-01	-8.074127e-13	-1.492002e-12
-1.079999999999980e-01	-8.078256e-13	-1.491647e-12
-1.075999999999980e-01	-8.082423e-13	-1.491289e-12
-1.071999999999980e-01	-8.086629e-13	-1.490927e-12
-1.067999999999980e-01	-8.090875e-13	-1.490562e-12
-1.063999999999980e-01	-8.095161e-13	-1.490194e-12
-1.059999999999980e-01	-8.099486e-13	-1.489822e-12
-1.055999999999980e-01	-8.103852e-13	-1.489447e-12
-1.051999999999980e-01	-8.108259e-13	-1.489068e-12
-1.047999999999980e-01	-8.112707e-13	-1.488686e-12
-1.043999999999980e-01	-8.117196e-13	-1.488300e-12
-1.039999999999980e-01	-8.121728e-13	-1.487911e-12
-1.035999999999980e-01	-8.126301e-13	-1.487518e-12
-1.031999999999980e-01	-8.130917e-13	-1.487122e-12
-1.027999999999980e-01	-8.135576e-13	-1.486721e-12
-1.023999999999980e-01	-8.140278e-13	-1.486318e-12
-1.019999999999980e-01	-8.145024e-13	-1.485910e-12
-1.015999999999980e-01	-8.149814e-13	-1.485499e-12
-1.011999999999980e-01	-8.154648e-13	-1.485084e-12
-1.007999999999980e-01	-8.159527e-13	-1.484665e-12
-1.003999999999980e-01	-8.164452e-13	-1.484242e-12
-9.999999999999802e-02	-8.169422e-13	-1.483815e-12
-9.959999999999802e-02	-8.174437e-13	-1.483385e-12
-9.919999999999803e-02	-8.179499e-13	-1.482950e-12
-9.879999999999803e-02	-8.184608e-13	-1.482512e-12
-9.839999999999803e-02	-8.189763e-13	-1.482069e-12
-9.799999999999803e-02	-8.194967e-13	-1.481623e-12
-9.759999999999804e-02	-8.200218e-13	-1.481172e-12
-9.719999999999804e-02	-8.205517e-13	-1.480718e-12
-9.679999999999804e-02	-8.210865e-13	-1.480259e-12
-9.639999999999804e-02	-8.216262e-13	-1.479796e-12
-9.599999999999805e-02	-8.221708e-13	-1.479329e-12
-9.559999999999805e-02	-8.227204e-13	-1.478858e-12
-9.519999999999805e-02	-8.232751e-13	-1.478382e-12
-9.479999999999805e-02	-8.238348e-13	-1.477902e-12
-9.439999999999805e-02	-8.243996e-13	-1.477418e-12
-9.399999999999806e-02	-8.249695e-13	-1.476929e-12
-9.359999999999806e-02	-8.255447e-13	-1.476436e-12
-9.319999999999806e-02	-8.261250e-13	-1.475939e-12
-9.279999999999806e-02	-8.267107e-13	-1.475437e-12
-9.239999999999807e-02	-8.273017e-13	-1.474931e-12
-9.199999999999807e-02	-8.278979e-13	-1.474420e-12
