vdm	V(n001)	I(V1)	I(V3)
-1.267999999999979e-01	2.542422e+00	6.824329e-10	3.275431e-08
-1.263999999999979e-01	2.542411e+00	6.915554e-10	3.274520e-08
-1.259999999999979e-01	2.542400e+00	7.007958e-10	3.273598e-08
-1.255999999999979e-01	2.542389e+00	7.101554e-10	3.272663e-08
-1.251999999999979e-01	2.542377e+00	7.196355e-10	3.271717e-08
-1.247999999999979e-01	2.542366e+00	7.292376e-10	3.270758e-08
-1.243999999999979e-01	2.542355e+00	7.389631e-10	3.269787e-08
-1.239999999999979e-01	2.542343e+00	7.488134e-10	3.268804e-08
-1.235999999999979e-01	2.542331e+00	7.587900e-10	3.267808e-08
-1.231999999999979e-01	2.542319e+00	7.688943e-10	3.266799e-08
-1.227999999999979e-01	2.542307e+00	7.791277e-10	3.265777e-08
-1.223999999999979e-01	2.542295e+00	7.894918e-10	3.264742e-08
-1.219999999999979e-01	2.542282e+00	7.999880e-10	3.263695e-08
-1.215999999999979e-01	2.542269e+00	8.106179e-10	3.262634e-08
-1.211999999999979e-01	2.542257e+00	8.213829e-10	3.261559e-08
-1.207999999999979e-01	2.542244e+00	8.322846e-10	3.260470e-08
-1.203999999999979e-01	2.542231e+00	8.433245e-10	3.259368e-08
-1.199999999999979e-01	2.542217e+00	8.545041e-10	3.258252e-08
-1.195999999999979e-01	2.542204e+00	8.658251e-10	3.257122e-08
-1.191999999999979e-01	2.542190e+00	8.772889e-10	3.255977e-08
-1.187999999999979e-01	2.542176e+00	8.888973e-10	3.254818e-08
-1.183999999999979e-01	2.542162e+00	9.006517e-10	3.253645e-08
-1.179999999999979e-01	2.542148e+00	9.125539e-10	3.252457e-08
-1.175999999999979e-01	2.542134e+00	9.246053e-10	3.251253e-08
-1.171999999999979e-01	2.542119e+00	9.368077e-10	3.250035e-08
-1.167999999999979e-01	2.542104e+00	9.491627e-10	3.248802e-08
-1.163999999999979e-01	2.542090e+00	9.616720e-10	3.247553e-08
-1.159999999999979e-01	2.542074e+00	9.743372e-10	3.246289e-08
-1.155999999999979e-01	2.542059e+00	9.871600e-10	3.245009e-08
-1.151999999999979e-01	2.542044e+00	1.000142e-09	3.243712e-08
-1.147999999999979e-01	2.542028e+00	1.013285e-09	3.242400e-08
-1.143999999999979e-01	2.542012e+00	1.026591e-09	3.241072e-08
-1.139999999999979e-01	2.541996e+00	1.040061e-09	3.239727e-08
-1.135999999999979e-01	2.541980e+00	1.053698e-09	3.238366e-08
-1.131999999999979e-01	2.541963e+00	1.067503e-09	3.236988e-08
-1.127999999999979e-01	2.541947e+00	1.081477e-09	3.235592e-08
-1.123999999999979e-01	2.541930e+00	1.095622e-09	3.234180e-08
-1.119999999999979e-01	2.541913e+00	1.109941e-09	3.232751e-08
-1.115999999999980e-01	2.541895e+00	1.124436e-09	3.231304e-08
-1.111999999999980e-01	2.541878e+00	1.139106e-09	3.229839e-08
-1.107999999999980e-01	2.541860e+00	1.153956e-09	3.228356e-08
-1.103999999999980e-01	2.541842e+00	1.168986e-09	3.226856e-08
-1.099999999999980e-01	2.541824e+00	1.184199e-09	3.225337e-08
-1.095999999999980e-01	2.541805e+00	1.199596e-09	3.223800e-08
-1.091999999999980e-01	2.541786e+00	1.215179e-09	3.222244e-08
-1.087999999999980e-01	2.541768e+00	1.230949e-09	3.220670e-08
-1.083999999999980e-01	2.541748e+00	1.246910e-09	3.219077e-08
-1.079999999999980e-01	2.541729e+00	1.263063e-09	3.217464e-08
-1.075999999999980e-01	2.541709e+00	1.279409e-09	3.215832e-08
-1.071999999999980e-01	2.541689e+00	1.295950e-09	3.214181e-08
-1.067999999999980e-01	2.541669e+00	1.312689e-09	3.212509e-08
-1.063999999999980e-01	2.541649e+00	1.329627e-09	3.210819e-08
-1.059999999999980e-01	2.541628e+00	1.346767e-09	3.209107e-08
-1.055999999999980e-01	2.541607e+00	1.364110e-09	3.207376e-08
-1.051999999999980e-01	2.541586e+00	1.381658e-09	3.205624e-08
-1.047999999999980e-01	2.541565e+00	1.399413e-09	3.203851e-08
-1.043999999999980e-01	2.541543e+00	1.417377e-09	3.202058e-08
-1.039999999999980e-01	2.541521e+00	1.435553e-09	3.200244e-08
-1.035999999999980e-01	2.541499e+00	1.453941e-09	3.198408e-08
-1.031999999999980e-01	2.541477e+00	1.472545e-09	3.196551e-08
-1.027999999999980e-01	2.541454e+00	1.491366e-09	3.194672e-08
-1.023999999999980e-01	2.541431e+00	1.510405e-09	3.192771e-08
-1.019999999999980e-01	2.541408e+00	1.529666e-09	3.190848e-08
-1.015999999999980e-01	2.541384e+00	1.549150e-09	3.188903e-08
-1.011999999999980e-01	2.541360e+00	1.568859e-09	3.186935e-08
-1.007999999999980e-01	2.541336e+00	1.588795e-09	3.184945e-08
-1.003999999999980e-01	2.541312e+00	1.608960e-09	3.182932e-08
-9.999999999999802e-02	2.541287e+00	1.629356e-09	3.180896e-08
-9.959999999999802e-02	2.541262e+00	1.649986e-09	3.178836e-08
-9.919999999999803e-02	2.541237e+00	1.670851e-09	3.176753e-08
-9.879999999999803e-02	2.541211e+00	1.691953e-09	3.174647e-08
-9.839999999999803e-02	2.541185e+00	1.713295e-09	3.172516e-08
-9.799999999999803e-02	2.541159e+00	1.734878e-09	3.170361e-08
-9.759999999999804e-02	2.541133e+00	1.756704e-09	3.168182e-08
-9.719999999999804e-02	2.541106e+00	1.778776e-09	3.165979e-08
-9.679999999999804e-02	2.541079e+00	1.801096e-09	3.163751e-08
-9.639999999999804e-02	2.541051e+00	1.823665e-09	3.161497e-08
-9.599999999999805e-02	2.541023e+00	1.846487e-09	3.159219e-08
