vdm	V(n001)	I(V1)	I(V2)	I(V3)
-1.399999999999983e-01	3.539575e+00	1.322278e-08	0.000000e+00	2.059007e-07
-1.395999999999983e-01	3.539531e+00	1.335343e-08	0.000000e+00	2.057704e-07
-1.391999999999983e-01	3.539487e+00	1.348504e-08	0.000000e+00	2.056392e-07
-1.387999999999983e-01	3.539443e+00	1.361759e-08	0.000000e+00	2.055070e-07
-1.383999999999982e-01	3.539398e+00	1.375110e-08	0.000000e+00	2.053739e-07
-1.379999999999982e-01	3.539353e+00	1.388556e-08	0.000000e+00	2.052399e-07
-1.375999999999982e-01	3.539308e+00	1.402097e-08	0.000000e+00	2.051048e-07
-1.371999999999982e-01	3.539263e+00	1.415735e-08	0.000000e+00	2.049688e-07
-1.367999999999982e-01	3.539217e+00	1.429469e-08	0.000000e+00	2.048319e-07
-1.363999999999982e-01	3.539170e+00	1.443299e-08	0.000000e+00	2.046940e-07
-1.359999999999982e-01	3.539124e+00	1.457225e-08	0.000000e+00	2.045551e-07
-1.355999999999982e-01	3.539077e+00	1.471248e-08	0.000000e+00	2.044153e-07
-1.351999999999982e-01	3.539029e+00	1.485368e-08	0.000000e+00	2.042745e-07
-1.347999999999981e-01	3.538982e+00	1.499585e-08	0.000000e+00	2.041328e-07
-1.343999999999981e-01	3.538934e+00	1.513899e-08	0.000000e+00	2.039901e-07
-1.339999999999981e-01	3.538885e+00	1.528311e-08	0.000000e+00	2.038464e-07
-1.335999999999981e-01	3.538837e+00	1.542820e-08	0.000000e+00	2.037017e-07
-1.331999999999981e-01	3.538788e+00	1.557426e-08	0.000000e+00	2.035561e-07
-1.327999999999981e-01	3.538738e+00	1.572131e-08	0.000000e+00	2.034095e-07
-1.323999999999981e-01	3.538688e+00	1.586933e-08	0.000000e+00	2.032619e-07
-1.319999999999981e-01	3.538638e+00	1.601834e-08	0.000000e+00	2.031133e-07
-1.315999999999981e-01	3.538588e+00	1.616832e-08	0.000000e+00	2.029637e-07
-1.311999999999980e-01	3.538537e+00	1.631929e-08	0.000000e+00	2.028132e-07
-1.307999999999980e-01	3.538486e+00	1.647125e-08	0.000000e+00	2.026617e-07
-1.303999999999980e-01	3.538435e+00	1.662420e-08	0.000000e+00	2.025092e-07
-1.299999999999980e-01	3.538383e+00	1.677813e-08	0.000000e+00	2.023557e-07
-1.295999999999980e-01	3.538330e+00	1.693305e-08	0.000000e+00	2.022013e-07
-1.291999999999980e-01	3.538278e+00	1.708895e-08	0.000000e+00	2.020458e-07
-1.287999999999980e-01	3.538225e+00	1.724585e-08	0.000000e+00	2.018894e-07
-1.283999999999980e-01	3.538172e+00	1.740375e-08	0.000000e+00	2.017319e-07
-1.279999999999979e-01	3.538118e+00	1.756263e-08	0.000000e+00	2.015735e-07
-1.275999999999979e-01	3.538064e+00	1.772251e-08	0.000000e+00	2.014141e-07
-1.271999999999979e-01	3.538009e+00	1.788338e-08	0.000000e+00	2.012537e-07
-1.267999999999979e-01	3.537955e+00	1.804525e-08	0.000000e+00	2.010923e-07
-1.263999999999979e-01	3.537899e+00	1.820812e-08	0.000000e+00	2.009299e-07
-1.259999999999979e-01	3.537844e+00	1.837198e-08	0.000000e+00	2.007666e-07
-1.255999999999979e-01	3.537788e+00	1.853684e-08	0.000000e+00	2.006022e-07
-1.251999999999979e-01	3.537732e+00	1.870270e-08	0.000000e+00	2.004368e-07
-1.247999999999979e-01	3.537675e+00	1.886956e-08	0.000000e+00	2.002704e-07
-1.243999999999979e-01	3.537618e+00	1.903741e-08	0.000000e+00	2.001031e-07
-1.239999999999979e-01	3.537561e+00	1.920627e-08	0.000000e+00	1.999347e-07
-1.235999999999979e-01	3.537503e+00	1.937613e-08	0.000000e+00	1.997654e-07
-1.231999999999979e-01	3.537445e+00	1.954699e-08	0.000000e+00	1.995950e-07
-1.227999999999979e-01	3.537387e+00	1.971885e-08	0.000000e+00	1.994237e-07
-1.223999999999979e-01	3.537328e+00	1.989171e-08	0.000000e+00	1.992513e-07
-1.219999999999979e-01	3.537269e+00	2.006557e-08	0.000000e+00	1.990780e-07
-1.215999999999979e-01	3.537209e+00	2.024044e-08	0.000000e+00	1.989036e-07
-1.211999999999979e-01	3.537149e+00	2.041631e-08	0.000000e+00	1.987283e-07
-1.207999999999979e-01	3.537089e+00	2.059318e-08	0.000000e+00	1.985519e-07
-1.203999999999979e-01	3.537029e+00	2.077105e-08	0.000000e+00	1.983746e-07
-1.199999999999979e-01	3.536968e+00	2.094993e-08	0.000000e+00	1.981962e-07
-1.195999999999979e-01	3.536906e+00	2.112981e-08	0.000000e+00	1.980169e-07
-1.191999999999979e-01	3.536844e+00	2.131069e-08	0.000000e+00	1.978365e-07
-1.187999999999979e-01	3.536782e+00	2.149257e-08	0.000000e+00	1.976552e-07
-1.183999999999979e-01	3.536719e+00	2.167546e-08	0.000000e+00	1.974728e-07
-1.179999999999979e-01	3.536656e+00	2.185935e-08	0.000000e+00	1.972895e-07
-1.175999999999979e-01	3.536593e+00	2.204424e-08	0.000000e+00	1.971052e-07
-1.171999999999979e-01	3.536530e+00	2.223013e-08	0.000000e+00	1.969198e-07
-1.167999999999979e-01	3.536465e+00	2.241702e-08	0.000000e+00	1.967335e-07
-1.163999999999979e-01	3.536401e+00	2.260492e-08	0.000000e+00	1.965462e-07
-1.159999999999979e-01	3.536336e+00	2.279381e-08	0.000000e+00	1.963578e-07
-1.155999999999979e-01	3.536271e+00	2.298371e-08	0.000000e+00	1.961685e-07
-1.151999999999979e-01	3.536205e+00	2.317461e-08	0.000000e+00	1.959782e-07
-1.147999999999979e-01	3.536139e+00	2.336650e-08	0.000000e+00	1.957868e-07
-1.143999999999979e-01	3.536073e+00	2.355940e-08	0.000000e+00	1.955945e-07
-1.139999999999979e-01	3.536006e+00	2.375329e-08	0.000000e+00	1.954012e-07
-1.135999999999979e-01	3.535939e+00	2.394818e-08	0.000000e+00	1.952069e-07
-1.131999999999979e-01	3.535872e+00	2.414407e-08	0.000000e+00	1.950116e-07
-1.127999999999979e-01	3.535804e+00	2.434095e-08	0.000000e+00	1.948153e-07
-1.123999999999979e-01	3.535735e+00	2.453883e-08	0.000000e+00	1.946180e-07
-1.119999999999979e-01	3.535667e+00	2.473770e-08	0.000000e+00	1.944197e-07
-1.115999999999980e-01	3.535598e+00	2.493757e-08	0.000000e+00	1.942205e-07
-1.111999999999980e-01	3.535528e+00	2.513843e-08	0.000000e+00	1.940202e-07
-1.107999999999980e-01	3.535458e+00	2.534028e-08	0.000000e+00	1.938190e-07
-1.103999999999980e-01	3.535388e+00	2.554313e-08	0.000000e+00	1.936167e-07
-1.099999999999980e-01	3.535317e+00	2.574696e-08	0.000000e+00	1.934135e-07
-1.095999999999980e-01	3.535246e+00	2.595178e-08	0.000000e+00	1.932093e-07
-1.091999999999980e-01	3.535175e+00	2.615759e-08	0.000000e+00	1.930041e-07
-1.087999999999980e-01	3.535103e+00	2.636439e-08	0.000000e+00	1.927980e-07
-1.083999999999980e-01	3.535031e+00	2.657217e-08	0.000000e+00	1.925908e-07
-1.079999999999980e-01	3.534959e+00	2.678094e-08	0.000000e+00	1.923827e-07
-1.075999999999980e-01	3.534886e+00	2.699069e-08	0.000000e+00	1.921735e-07
-1.071999999999980e-01	3.534812e+00	2.720143e-08	0.000000e+00	1.919635e-07
-1.067999999999980e-01	3.534739e+00	2.741314e-08	0.000000e+00	1.917524e-07
-1.063999999999980e-01	3.534664e+00	2.762583e-08	0.000000e+00	1.915403e-07
-1.059999999999980e-01	3.534590e+00	2.783950e-08	0.000000e+00	1.913273e-07
-1.055999999999980e-01	3.534515e+00	2.805415e-08	0.000000e+00	1.911133e-07
-1.051999999999980e-01	3.534440e+00	2.826977e-08	0.000000e+00	1.908983e-07
-1.047999999999980e-01	3.534364e+00	2.848637e-08	0.000000e+00	1.906824e-07
-1.043999999999980e-01	3.534288e+00	2.870394e-08	0.000000e+00	1.904655e-07
-1.039999999999980e-01	3.534211e+00	2.892248e-08	0.000000e+00	1.902476e-07
-1.035999999999980e-01	3.534135e+00	2.914198e-08	0.000000e+00	1.900288e-07
-1.031999999999980e-01	3.534057e+00	2.936246e-08	0.000000e+00	1.898090e-07
-1.027999999999980e-01	3.533980e+00	2.958390e-08	0.000000e+00	1.895882e-07
-1.023999999999980e-01	3.533902e+00	2.980630e-08	0.000000e+00	1.893665e-07
-1.019999999999980e-01	3.533823e+00	3.002967e-08	0.000000e+00	1.891438e-07
-1.015999999999980e-01	3.533744e+00	3.025400e-08	0.000000e+00	1.889201e-07
-1.011999999999980e-01	3.533665e+00	3.047929e-08	0.000000e+00	1.886956e-07
-1.007999999999980e-01	3.533586e+00	3.070553e-08	0.000000e+00	1.884700e-07
-1.003999999999980e-01	3.533505e+00	3.093273e-08	0.000000e+00	1.882435e-07
-9.999999999999802e-02	3.533425e+00	3.116088e-08	0.000000e+00	1.880160e-07
-9.959999999999802e-02	3.533344e+00	3.138998e-08	0.000000e+00	1.877876e-07
-9.919999999999803e-02	3.533263e+00	3.162004e-08	0.000000e+00	1.875583e-07
-9.879999999999803e-02	3.533181e+00	3.185104e-08	0.000000e+00	1.873280e-07
-9.839999999999803e-02	3.533099e+00	3.208298e-08	0.000000e+00	1.870968e-07
-9.799999999999803e-02	3.533017e+00	3.231587e-08	0.000000e+00	1.868646e-07
-9.759999999999804e-02	3.532934e+00	3.254970e-08	0.000000e+00	1.866315e-07
-9.719999999999804e-02	3.532851e+00	3.278447e-08	0.000000e+00	1.863974e-07
-9.679999999999804e-02	3.532767e+00	3.302018e-08	0.000000e+00	1.861625e-07
-9.639999999999804e-02	3.532683e+00	3.325682e-08	0.000000e+00	1.859265e-07
-9.599999999999805e-02	3.532599e+00	3.349439e-08	0.000000e+00	1.856897e-07
-9.559999999999805e-02	3.532514e+00	3.373289e-08	0.000000e+00	1.854519e-07
-9.519999999999805e-02	3.532429e+00	3.397232e-08	0.000000e+00	1.852132e-07
-9.479999999999805e-02	3.532343e+00	3.421268e-08	0.000000e+00	1.849736e-07
-9.439999999999805e-02	3.532258e+00	3.445396e-08	0.000000e+00	1.847331e-07
-9.399999999999806e-02	3.532171e+00	3.469616e-08	0.000000e+00	1.844916e-07
-9.359999999999806e-02	3.532084e+00	3.493929e-08	0.000000e+00	1.842493e-07
-9.319999999999806e-02	3.531997e+00	3.518332e-08	0.000000e+00	1.840060e-07
-9.279999999999806e-02	3.531910e+00	3.542827e-08	0.000000e+00	1.837618e-07
-9.239999999999807e-02	3.531822e+00	3.567414e-08	0.000000e+00	1.835167e-07
-9.199999999999807e-02	3.531733e+00	3.592091e-08	0.000000e+00	1.832707e-07
-9.159999999999807e-02	3.531645e+00	3.616859e-08	0.000000e+00	1.830238e-07
-9.119999999999807e-02	3.531555e+00	3.641717e-08	0.000000e+00	1.827760e-07
-9.079999999999808e-02	3.531466e+00	3.666665e-08	0.000000e+00	1.825273e-07
-9.039999999999808e-02	3.531376e+00	3.691703e-08	0.000000e+00	1.822777e-07
-8.999999999999808e-02	3.531286e+00	3.716831e-08	0.000000e+00	1.820272e-07
-8.959999999999808e-02	3.531195e+00	3.742048e-08	0.000000e+00	1.817758e-07
-8.919999999999809e-02	3.531104e+00	3.767355e-08	0.000000e+00	1.815235e-07
-8.879999999999809e-02	3.531012e+00	3.792750e-08	0.000000e+00	1.812704e-07
-8.839999999999809e-02	3.530920e+00	3.818234e-08	0.000000e+00	1.810163e-07
-8.799999999999809e-02	3.530828e+00	3.843806e-08	0.000000e+00	1.807614e-07
