#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A189EA
#Date Time: 2024-04-21 19:54:23.665
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: -1.51 V Sample Mode: Average
#Channel 2: Range: 50 mV/div Offset: -1.505 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 500 Hz
#Period: 2 ms
#Amplitude: 100 mV
#Offset: 1.5 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.002456981083805923,1.591347232108627,1.58399629435035
-0.002456351083805923,1.591679528729018,1.58399629435035
-0.002455721083805923,1.592344121969798,1.58399629435035
-0.002455091083805924,1.591679528729018,1.584330296939417
-0.002454461083805923,1.591347232108627,1.584664299528485
-0.002453831083805923,1.591014935488237,1.584664299528485
-0.002453201083805923,1.591679528729018,1.584330296939418
-0.002452571083805923,1.592344121969798,1.584330296939418
-0.002451941083805923,1.592011825349407,1.584330296939417
-0.002451311083805923,1.591347232108627,1.58399629435035
-0.002450681083805923,1.591347232108627,1.584330296939418
-0.002450051083805924,1.590682638867847,1.584330296939418
-0.002449421083805923,1.591347232108627,1.584664299528485
-0.002448791083805923,1.591679528729018,1.58533230470662
-0.002448161083805923,1.590682638867848,1.584664299528485
-0.002447531083805923,1.590682638867847,1.584330296939418
-0.002446901083805923,1.590682638867847,1.584664299528485
-0.002446271083805923,1.591014935488237,1.584330296939418
-0.002445641083805923,1.590682638867847,1.584330296939418
-0.002445011083805924,1.591014935488237,1.584664299528485
-0.002444381083805923,1.591347232108627,1.584664299528485
-0.002443751083805923,1.591347232108627,1.584330296939418
-0.002443121083805923,1.590682638867847,1.584664299528485
-0.002442491083805923,1.591014935488237,1.584664299528485
-0.002441861083805923,1.591014935488237,1.584664299528485
-0.002441231083805923,1.591347232108627,1.584330296939418
-0.002440601083805923,1.591347232108627,1.584664299528485
-0.002439971083805924,1.591347232108627,1.584664299528485
-0.002439341083805923,1.590682638867847,1.58399629435035
-0.002438711083805923,1.590350342247457,1.584330296939418
-0.002438081083805924,1.591014935488237,1.584664299528485
-0.002437451083805923,1.592011825349408,1.584664299528485
-0.002436821083805923,1.592344121969797,1.584664299528485
-0.002436191083805923,1.592011825349408,1.584664299528485
-0.002435561083805923,1.591679528729018,1.584330296939418
-0.002434931083805923,1.591347232108627,1.58399629435035
-0.002434301083805923,1.590682638867847,1.584330296939418
-0.002433671083805923,1.591347232108627,1.584330296939418
-0.002433041083805924,1.592011825349407,1.584998302117552
-0.002432411083805923,1.592011825349408,1.584664299528485
-0.002431781083805923,1.592676418590187,1.584664299528485
-0.002431151083805923,1.592011825349408,1.584330296939418
-0.002430521083805923,1.591679528729018,1.584998302117553
-0.002429891083805923,1.590682638867847,1.584664299528485
-0.002429261083805923,1.590682638867847,1.584330296939418
-0.002428631083805923,1.591347232108627,1.584330296939418
-0.002428001083805924,1.591014935488237,1.584330296939418
-0.002427371083805923,1.591014935488237,1.584664299528485
-0.002426741083805923,1.591014935488237,1.584664299528485
-0.002426111083805923,1.591679528729018,1.584664299528485
-0.002425481083805923,1.592011825349408,1.58399629435035
-0.002424851083805923,1.592344121969798,1.584330296939418
-0.002424221083805923,1.592344121969798,1.584330296939418
-0.002423591083805923,1.591679528729018,1.584664299528485
-0.002422961083805924,1.591347232108627,1.584664299528485
-0.002422331083805923,1.591014935488237,1.58399629435035
